央视频道,#genre#
甘肃卫视,http://mgsp-ali.live.miguvideo.com:8088/envivo_v/2018/SD/gansu/1000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c8251&mdspid=&spid=600633&netType=4&sid=5910020477&pid=2028597139&timestamp=20231207154106&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=738910997&ParentNodeID=-99&assertID=5910020477&client_ip=124.128.133.137&SecurityKey=20231207154106&promotionId=&mvid=5900004333&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=3d007764a844575814df0d51a349c37f
黑龙江卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8
河北卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8
湖北卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225760/index.m3u8?
贵州卫视,http://hlsbkmgsplive.miguvideo.com/wd-guizhouwssd-600/index.m3u8?&encrypt=
厦门卫视,http://120.196.232.41:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226695/1.m3u8
新疆卫视,http://mgsp-hs.live.miguvideo.com:8088/wd-xinjiangwssd-600/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c0159&mdspid=&spid=600633&netType=4&sid=5910020472&pid=2028597139&timestamp=20231207154733&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=738910476&ParentNodeID=-99&assertID=5910020472&client_ip=124.128.133.137&SecurityKey=20231207154733&promotionId=&mvid=5900004341&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=cead3a9b557d2fc65c4adb6578b96746
湖北卫视,http://mgsp-tx.live.miguvideo.com:8088/wd_r2/2018/ocn/hubeiwshd/2000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c3927&mdspid=&spid=600632&netType=4&sid=5910020463&pid=2028597139&timestamp=20231207155707&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=738906825&ParentNodeID=-99&assertID=5910020463&client_ip=124.128.133.137&SecurityKey=20231207155707&promotionId=&mvid=5900004355&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=975ae55d586083d9c6155c17fc95df8f
吉林卫视,http://mgws.live.miguvideo.com:8088/envivo_v/2018/SD/jilin/1000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c9566&mdspid=&spid=600632&netType=4&sid=5910020465&pid=2028597139&timestamp=20231207155740&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=738906889&ParentNodeID=-99&assertID=5910020465&client_ip=124.128.133.137&SecurityKey=20231207155740&promotionId=&mvid=5900004357&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=8bd2978e84b02ec22bf194ce4a0551a5
辽宁卫视,http://mgws.live.miguvideo.com:8088/wd_r2/2018/ocn/liaoningwshd/2000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c6063&mdspid=&spid=800033&netType=4&sid=5500321234&pid=2028597139&timestamp=20231207155852&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=630291707&ParentNodeID=-99&assertID=5500321234&client_ip=124.128.133.137&SecurityKey=20231207155852&promotionId=&mvid=5101043014&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=ab3b1681819bd15e5aae0297de06698b
厦门卫视,http://120.196.232.41:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226695/1.m3u8
三沙卫视,http://stream3.hnntv.cn/ssws/playlist.m3u8?_upt=cb145be71701947866
海南卫视,http://mgsp-ali.live.miguvideo.com:8088/envivo_x/SD/lvyou/711/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c4524&mdspid=&spid=600632&netType=4&sid=5910020464&pid=2028597139&timestamp=20231207160638&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=738906860&ParentNodeID=-99&assertID=5910020464&client_ip=124.128.133.137&SecurityKey=20231207160638&promotionId=&mvid=5900004359&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=4858f53c96fdaf3c4f1de3fb61b9bfdb
青海卫视,http://mgsp-hs.live.miguvideo.com:8088/envivo_w/2018/SD/qinghai/1000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c5042&mdspid=&spid=600632&netType=4&sid=5910020461&pid=2028597139&timestamp=20231207160824&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=738898486&ParentNodeID=-99&assertID=5910020461&client_ip=124.128.133.137&SecurityKey=20231207160824&promotionId=&mvid=5900004353&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=c9d82b3cd77982817a40078afa67702f
内蒙古卫视,http://mgsp-ali.live.miguvideo.com:8088/envivo_w/2018/SD/neimeng/1000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c9776&mdspid=&spid=600633&netType=4&sid=5910020478&pid=2028597139&timestamp=20231207160905&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=738911430&ParentNodeID=-99&assertID=5910020478&client_ip=124.128.133.137&SecurityKey=20231207160905&promotionId=&mvid=5900004335&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=8d49c99f0d94bf71ad1041d53a58394b
